antlr:antlr,2.7.7,BSD,http://en.wikipedia.org/wiki/BSD_licenses#4-clause_license_.28original_.22BSD_License.22.29,Approved,Gradle,""
aopalliance:aopalliance,1.0,Public Domain,"",Not approved,Gradle,""
ch.qos.logback:logback-access,1.2.1,"Eclipse Public License - v 1.0,GNU Lesser General Public License",",",Not approved,Gradle,""
ch.qos.logback:logback-classic,1.2.1,"Eclipse Public License - v 1.0,GNU Lesser General Public License",",",Not approved,Gradle,""
ch.qos.logback:logback-core,1.2.1,"Eclipse Public License - v 1.0,GNU Lesser General Public License",",",Not approved,Gradle,""
com.atomikos:atomikos-util,4.0.4,Atomikos Multiple Licensing Scheme,"",Not approved,Gradle,""
com.atomikos:transactions,4.0.4,Atomikos Multiple Licensing Scheme,"",Not approved,Gradle,""
com.atomikos:transactions-api,4.0.4,Atomikos Multiple Licensing Scheme,"",Not approved,Gradle,""
com.atomikos:transactions-hibernate4,4.0.4,Atomikos Multiple Licensing Scheme,"",Not approved,Gradle,""
com.atomikos:transactions-jdbc,4.0.4,Atomikos Multiple Licensing Scheme,"",Not approved,Gradle,""
com.atomikos:transactions-jta,4.0.4,Atomikos Multiple Licensing Scheme,"",Not approved,Gradle,""
com.carrotsearch:hppc,0.7.1,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
com.connx.jdbc:connxjdbc,12.4,unknown,"",Not approved,Gradle,""
com.fasterxml.jackson.core:jackson-annotations,2.8.0,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
com.fasterxml.jackson.core:jackson-core,2.8.7,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
com.fasterxml.jackson.core:jackson-databind,2.8.7,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
com.fasterxml.jackson.dataformat:jackson-dataformat-cbor,2.8.6,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
com.fasterxml.jackson.dataformat:jackson-dataformat-smile,2.8.6,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
com.fasterxml.jackson.dataformat:jackson-dataformat-xml,2.4.5,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
com.fasterxml.jackson.dataformat:jackson-dataformat-yaml,2.8.7,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
com.fasterxml.jackson.datatype:jackson-datatype-guava,2.8.7,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
com.fasterxml.jackson.datatype:jackson-datatype-hibernate5,2.8.7,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
com.fasterxml.jackson.datatype:jackson-datatype-jdk8,2.8.7,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
com.fasterxml.jackson.datatype:jackson-datatype-joda,2.8.7,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
com.fasterxml.jackson.datatype:jackson-datatype-jsr310,2.8.7,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
com.fasterxml.jackson.jaxrs:jackson-jaxrs-base,2.8.7,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
com.fasterxml.jackson.jaxrs:jackson-jaxrs-json-provider,2.8.7,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
com.fasterxml.jackson.module:jackson-module-afterburner,2.8.7,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
com.fasterxml.jackson.module:jackson-module-guice,2.8.2,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
com.fasterxml.jackson.module:jackson-module-jaxb-annotations,2.8.7,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
com.fasterxml.jackson.module:jackson-module-parameter-names,2.8.7,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
com.fasterxml:classmate,1.3.1,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
com.github.javafaker:javafaker,0.13,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
com.github.mifmif:generex,1.0.2,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
com.github.spullara.mustache.java:compiler,0.9.4,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
com.github.stephenc.jcip:jcip-annotations,1.0-1,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
com.google.code.findbugs:annotations,3.0.1,GNU Lesser Public License,"",Not approved,Gradle,""
com.google.code.findbugs:jsr305,3.0.1,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
com.google.errorprone:error_prone_annotations,2.0.18,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
com.google.guava:guava,22.0,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
com.google.inject.extensions:guice-multibindings,4.0,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
com.google.inject.extensions:guice-servlet,4.0,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
com.google.inject:guice,4.0,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
com.google.j2objc:j2objc-annotations,1.1,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
com.google.protobuf:protobuf-java,2.6.0,New BSD license,"",Approved,Gradle,""
com.ibm:db2jcc4,4.0.0,unknown,"",Not approved,Gradle,""
com.ibm:db2jcc_license_cisuz,4.0.0,unknown,"",Not approved,Gradle,""
com.nimbusds:nimbus-jose-jwt,4.39,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
